id,Task Name,List Name,Status,Priority,Start Date,Due Date,Tags,Story Points,Dependencies,Description
BK-001,Apply migration 010 in staging and validate hardening,Sprint 1 - Foundation and Security,to do,urgent,2026-03-03,2026-03-16,"sprint1,security,supabase,task",5,None,"Migration applied, smoke checks green, rollback script documented."
BK-002,Create automated RLS matrix tests by role,Sprint 1 - Foundation and Security,to do,urgent,2026-03-03,2026-03-16,"sprint1,security,tests,rls,story",8,BK-001,"Tests cover admin, gestor, recepcao, medico and block unauthorized paths."
BK-003,Implement entitlements schema for Core Growth Premium,Sprint 1 - Foundation and Security,to do,urgent,2026-03-03,2026-03-16,"sprint1,billing,entitlements,backend,story",8,None,"Tables or config exist and each tenant resolves active entitlements."
BK-004,Enforce feature gates in backend APIs and RPCs,Sprint 1 - Foundation and Security,to do,urgent,2026-03-03,2026-03-16,"sprint1,backend,entitlements,api,story",8,BK-003,"Blocked features return deterministic error and are audited."
BK-005,Build resilient event processor with retry and DLQ,Sprint 1 - Foundation and Security,to do,urgent,2026-03-03,2026-03-16,"sprint1,events,reliability,n8n,epic",13,BK-001,"Failed events retry with backoff and dead letter queue stores terminal failures."
BK-006,Standardize idempotency keys across workflows,Sprint 1 - Foundation and Security,to do,high,2026-03-03,2026-03-16,"sprint1,events,idempotency,task",5,BK-005,"Duplicate events do not create duplicated side effects."
BK-007,Configure dev staging prod with migration pipeline,Sprint 1 - Foundation and Security,to do,high,2026-03-03,2026-03-16,"sprint1,devops,environments,story",8,None,"Same migration set runs in all environments with documented promote flow."
BK-008,Create CI pipeline for SQL tests and policy regression,Sprint 1 - Foundation and Security,to do,high,2026-03-03,2026-03-16,"sprint1,ci,sql,quality,story",8,"BK-002;BK-007","CI runs migrations and security tests on each pull request."
BK-009,Build patient portal V1 with secure access links,Sprint 2 - Product and Conversion,to do,urgent,2026-03-17,2026-03-30,"sprint2,portal,patient,frontend,story",8,BK-004,"Patient can open appointment details with secure signed access."
BK-010,Implement confirm and reschedule APIs plus UI flow,Sprint 2 - Product and Conversion,to do,urgent,2026-03-17,2026-03-30,"sprint2,appointments,portal,api,story",8,BK-009,"Patient confirms or reschedules and status event trail is consistent."
BK-011,Add teleconsult consent request and capture UI flow,Sprint 2 - Product and Conversion,to do,urgent,2026-03-17,2026-03-30,"sprint2,teleconsult,consent,lgpd,story",8,BK-009,"Consent status transitions are auditable end to end."
BK-012,Implement D-0 reminder engine with channel fallback,Sprint 2 - Product and Conversion,to do,high,2026-03-17,2026-03-30,"sprint2,notifications,automation,epic",13,"BK-005;BK-010","Reminders send on schedule and fallback channel triggers on provider failure."
BK-013,Create no-show score v1 and assisted action rules,Sprint 2 - Product and Conversion,to do,high,2026-03-17,2026-03-30,"sprint2,noshow,ops,analytics,story",8,BK-012,"Risk score appears before appointment and action suggestions are logged."
BK-014,Launch reengagement automations for no-show and inactive,Sprint 2 - Product and Conversion,to do,high,2026-03-17,2026-03-30,"sprint2,retention,campaigns,story",8,BK-013,"Campaign runs idempotently and updates journey status."
BK-015,Deliver funnel dashboard by acquisition channel,Sprint 2 - Product and Conversion,to do,high,2026-03-17,2026-03-30,"sprint2,metrics,funnel,bi,story",8,BK-010,"Dashboard shows lead to booking to attendance conversion by channel."
BK-016,Implement LGPD retention jobs for consent and transcripts,Sprint 2 - Product and Conversion,to do,urgent,2026-03-17,2026-03-30,"sprint2,lgpd,data-retention,compliance,story",8,BK-011,"Expired sensitive data is marked and processed per retention policy."
BK-017,Build pilot clinic onboarding playbook and checklist,Sprint 3 - Go Live and Initial Scale,to do,urgent,2026-03-31,2026-04-13,"sprint3,onboarding,operations,story",8,"BK-010;BK-015","New clinic can be onboarded in 5 business days with repeatable checklist."
BK-018,Create incident runbooks for OAuth messaging transcription,Sprint 3 - Go Live and Initial Scale,to do,high,2026-03-31,2026-04-13,"sprint3,reliability,runbook,support,story",5,BK-005,"Each critical incident has steps, owner, SLA and escalation path."
BK-019,Add recurring billing and dunning flow baseline,Sprint 3 - Go Live and Initial Scale,to do,high,2026-03-31,2026-04-13,"sprint3,billing,subscriptions,revenue,epic",13,BK-003,"Subscription lifecycle works and failed payment triggers dunning stages."
BK-020,Add AI governance logs prompt version and per-visit cost,Sprint 3 - Go Live and Initial Scale,to do,high,2026-03-31,2026-04-13,"sprint3,ai,governance,cost,story",8,BK-016,"Each transcript summary stores model, prompt version and token cost."
BK-021,Build KPI cockpit for North Star and operations,Sprint 3 - Go Live and Initial Scale,to do,high,2026-03-31,2026-04-13,"sprint3,metrics,executive,dashboard,story",8,BK-015,"Weekly cockpit shows attendance, no-show, forecast and workflow SLA."
BK-022,Execute pilot hardening bug bash and fix criticals,Sprint 3 - Go Live and Initial Scale,to do,urgent,2026-03-31,2026-04-13,"sprint3,qa,hardening,pilot,task",8,"BK-017;BK-021","All P0 and P1 bugs found in pilot are fixed or waived with owner and date."
BK-023,Define support N1 process and handoff artifacts,Sprint 3 - Go Live and Initial Scale,to do,normal,2026-03-31,2026-04-13,"sprint3,support,process,task",5,BK-018,"N1 support script, triage flow and escalation templates are documented."
BK-024,Run 7-day assisted pilot and close go-live report,Sprint 3 - Go Live and Initial Scale,to do,urgent,2026-03-31,2026-04-13,"sprint3,go-live,pilot,report,task",8,"BK-022;BK-023","Pilot runs 7 days without severe blocker and final report approved."
