id,Task Name,List Name,Status,Priority,Tags,Story Points,Dependencies,Description,Custom Field: Module,Custom Field: Layer
TB-001,Criar views vw_dash para KPIs e graficos V1,Fase 3 - Inteligencia,to do,high,"dashboard,data,sql",8,None,"Criar views agregadas por tenant com filtros por periodo medico canal e modalidade.",Dashboard,DATA
TB-002,Implementar endpoints agregados de dashboard com cache,Fase 3 - Inteligencia,to do,high,"dashboard,backend,api",8,TB-001,"Endpoints com filtros globais e cache para widgets pesados.",Dashboard,BE
TB-003,Construir tela dashboard gestor V1,Fase 3 - Inteligencia,to do,high,"dashboard,frontend,ui",8,TB-002,"Implementar filtros globais KPIs e graficos prioritarios com drill-down.",Dashboard,FE
TB-004,Modelar consultas de agenda por medico dia semana,Fase 1 - Core Operacional,to do,urgent,"agenda,data,sql",8,None,"Consultas de calendario com indices para leitura rapida.",Agenda,DATA
TB-005,Integrar RPCs de agendamento e status no backend,Fase 1 - Core Operacional,to do,urgent,"agenda,backend,rpc",8,TB-004,"Expor fluxo de criar confirmar e alterar status com regras de transicao.",Agenda,BE
TB-006,Implementar tela agenda com drawer operacional,Fase 1 - Core Operacional,to do,urgent,"agenda,frontend,ui",8,TB-005,"Calendario por medico com acoes de atendimento e teleconsulta.",Agenda,FE
TB-007,Criar visao de funil CRM com SLA de lead,Fase 1 - Core Operacional,to do,high,"crm,data,sql",5,None,"Visao por etapa canal e tempo medio de resposta.",Kanban CRM,DATA
TB-008,APIs de movimentacao de etapa e conversao lead paciente,Fase 1 - Core Operacional,to do,high,"crm,backend,api",8,TB-007,"Persistir mudanca de etapa e conversao com auditoria.",Kanban CRM,BE
TB-009,Implementar board kanban CRM com drag and drop,Fase 1 - Core Operacional,to do,high,"crm,frontend,ui",8,TB-008,"Cards com score ultima interacao e proxima acao.",Kanban CRM,FE
TB-010,Otimizar busca e deduplicacao de pacientes,Fase 1 - Core Operacional,to do,high,"patients,data,sql",5,None,"Busca por nome telefone documento e regra de duplicidade por tenant.",Pacientes,DATA
TB-011,APIs de cadastro merge e timeline de paciente,Fase 1 - Core Operacional,to do,high,"patients,backend,api",8,TB-010,"CRUD completo com timeline e merge controlado.",Pacientes,BE
TB-012,Implementar tela pacientes com filtros e drawer,Fase 1 - Core Operacional,to do,high,"patients,frontend,ui",8,TB-011,"Lista com filtros avancados detalhe e acoes rapidas.",Pacientes,FE
TB-013,Estruturar fila de mensagens com idempotencia,Fase 1 - Core Operacional,to do,high,"messages,data,events",8,None,"Fila e estados de entrega com retry e idempotencia.",Mensagens,DATA
TB-014,Servico omnichannel com fallback de canal,Fase 1 - Core Operacional,to do,high,"messages,backend,integrations",8,TB-013,"Envio WhatsApp e email com fallback e telemetria.",Mensagens,BE
TB-015,Implementar inbox de mensagens e templates,Fase 1 - Core Operacional,to do,high,"messages,frontend,ui",8,TB-014,"Timeline por paciente e operacao de envios e falhas.",Mensagens,FE
TB-016,Ajustar entidades de equipe e vinculo profile doctor,Fase 2 - Governanca,to do,normal,"team,data,sql",5,None,"Modelagem para convite status e vinculo medico usuario.",Equipe,DATA
TB-017,APIs de convite ativacao e capacidade operacional,Fase 2 - Governanca,to do,normal,"team,backend,api",5,TB-016,"Fluxo de equipe com controle por tenant e role.",Equipe,BE
TB-018,Implementar tela equipe com filtros por role,Fase 2 - Governanca,to do,normal,"team,frontend,ui",5,TB-017,"Tabela de equipe e painel de detalhe operacional.",Equipe,FE
TB-019,Consolidar matriz de permissao por recurso e role,Fase 2 - Governanca,to do,urgent,"rbac,data,security",8,None,"Estrutura canonica de permissoes alinhada ao backend.",Acesso RBAC,DATA
TB-020,Endpoints admin para roles politicas e sessao,Fase 2 - Governanca,to do,urgent,"rbac,backend,security",8,TB-019,"Troca de role revogacao de sessao e auditoria.",Acesso RBAC,BE
TB-021,Implementar tela de acesso RBAC e auditoria,Fase 2 - Governanca,to do,high,"rbac,frontend,ui",8,TB-020,"Matriz visual usuarios e logs de acesso.",Acesso RBAC,FE
TB-022,Criar views de relatorios operacionais e comerciais,Fase 3 - Inteligencia,to do,high,"reports,data,sql",8,TB-001,"Views de comparecimento no-show ocupacao e conversao.",Relatorios,DATA
TB-023,Endpoints de relatorios com exportacao,Fase 3 - Inteligencia,to do,high,"reports,backend,api",5,TB-022,"APIs para consulta e exportacao CSV PDF.",Relatorios,BE
TB-024,Implementar tela relatorios com drill down,Fase 3 - Inteligencia,to do,high,"reports,frontend,ui",8,TB-023,"Grade de graficos com filtro global e tabela detalhada.",Relatorios,FE
TB-025,Modelar receita prevista realizada e inadimplencia,Fase 3 - Inteligencia,to do,high,"financial,data,sql",8,None,"Estrutura e calculos financeiros por tenant.",Financeiro,DATA
TB-026,APIs de fechamento ajustes e recebimento,Fase 3 - Inteligencia,to do,high,"financial,backend,api",5,TB-025,"Fluxos de reconciliacao financeira e ajustes auditados.",Financeiro,BE
TB-027,Implementar tela financeiro V1,Fase 3 - Inteligencia,to do,high,"financial,frontend,ui",8,TB-026,"KPIs e tabela de previsao versus realizado.",Financeiro,FE
TB-028,Parametrizar regras de agenda LGPD e templates,Fase 2 - Governanca,to do,normal,"settings,data,sql",5,None,"Parametros versionados por tenant.",Configuracoes,DATA
TB-029,Endpoints de configuracao versionada por tenant,Fase 2 - Governanca,to do,normal,"settings,backend,api",5,TB-028,"Salvar e recuperar configuracoes com historico.",Configuracoes,BE
TB-030,Implementar tela configuracoes por secao,Fase 2 - Governanca,to do,normal,"settings,frontend,ui",5,TB-029,"Formularios por modulo com validacao inline.",Configuracoes,FE
TB-031,Criar design system V1 compartilhado,Fase 1 - Core Operacional,to do,high,"cross,frontend,design-system",8,None,"Componentes base de filtros cards tabelas drawer e estados.",Cross,FE
TB-032,Instrumentar telemetria de uso por widget e tela,Fase 3 - Inteligencia,to do,normal,"cross,backend,analytics",5,None,"Eventos de uso para medir adocao e utilidade.",Cross,BE
TB-033,Adicionar auditoria de exportacoes e acoes sensiveis,Fase 2 - Governanca,to do,high,"cross,data,audit",5,None,"Logs de quem executou quando e com quais filtros.",Cross,DATA
TB-034,Suite e2e de fluxos criticos operacionais,Fase 1 - Core Operacional,to do,high,"cross,qa,e2e",8,"TB-006;TB-009;TB-015","Cobrir agenda CRM mensagens e cenarios de erro.",Cross,QA
TB-035,Testes de permissao por role e tenant,Fase 2 - Governanca,to do,urgent,"cross,qa,security",8,TB-021,"Garantir bloqueio de acesso indevido em UI API e banco.",Cross,QA
TB-036,Teste de performance inicial dashboard e agenda,Fase 3 - Inteligencia,to do,normal,"cross,qa,performance",5,"TB-003;TB-006","Medir latencia carga inicial e consultas mais pesadas.",Cross,QA
